mahalle_id,mahalle_adi,ilce_id,ilce_adi,il_id,il_adi
94090,AKÇALI KÖYÜ, ARABACI MEVKİİ,1172,MERKEZ,74,BARTIN
94093,AKÇALI KÖYÜ, AŞAĞI MEVKİİ,1172,MERKEZ,74,BARTIN
94091,AKÇALI KÖYÜ, MENCİ MEVKİİ,1172,MERKEZ,74,BARTIN
94089,AKÇALI KÖYÜ, ORTAKÖY MEVKİİ,1172,MERKEZ,74,BARTIN
94094,AKÇALI KÖYÜ, ÖMERKÖY MEVKİİ,1172,MERKEZ,74,BARTIN
94092,AKÇALI KÖYÜ, YUKARIKÖY MEVKİİ,1172,MERKEZ,74,BARTIN
94482,AKÇAMESCİT KÖYÜ, HACIRASUL MEVKİİ,1172,MERKEZ,74,BARTIN
94483,AKÇAMESCİT KÖYÜ, KARGA MEVKİİ,1172,MERKEZ,74,BARTIN
94485,AKÇAMESCİT KÖYÜ, KAYIMLAR MEVKİİ,1172,MERKEZ,74,BARTIN
94484,AKÇAMESCİT KÖYÜ, TEKKE MEVKİİ,1172,MERKEZ,74,BARTIN
94481,AKÇAMESCİT KÖYÜ, TOPAL ALİ MEVKİİ,1172,MERKEZ,74,BARTIN
94095,AKGÖZ KÖYÜ,1172,MERKEZ,74,BARTIN
94479,AKINCILAR KÖYÜ, BEZİRCİLER MEVKİİ,1172,MERKEZ,74,BARTIN
94480,AKINCILAR KÖYÜ, DÜZ MEVKİİ,1172,MERKEZ,74,BARTIN
94475,AKINCILAR KÖYÜ, KAHYA MEVKİİ,1172,MERKEZ,74,BARTIN
94478,AKINCILAR KÖYÜ, KARAMANLAR MEVKİİ,1172,MERKEZ,74,BARTIN
94477,AKINCILAR KÖYÜ, KUZYAKA MEVKİİ,1172,MERKEZ,74,BARTIN
94476,AKINCILAR KÖYÜ, MERKEZ MEVKİİ,1172,MERKEZ,74,BARTIN
94099,AKMANLAR KÖYÜ, ÇOBANLAR MEVKİİ,1172,MERKEZ,74,BARTIN
94098,AKMANLAR KÖYÜ, DAĞDİBİ MEVKİİ,1172,MERKEZ,74,BARTIN
94101,AKMANLAR KÖYÜ, DEVŞEYLİ MEVKİİ,1172,MERKEZ,74,BARTIN
94102,AKMANLAR KÖYÜ, DOLAŞIKLAR MEVKİİ,1172,MERKEZ,74,BARTIN
94096,AKMANLAR KÖYÜ, MERKEZ MEVKİİ,1172,MERKEZ,74,BARTIN
94100,AKMANLAR KÖYÜ, ORMANOĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
94097,AKMANLAR KÖYÜ, SEFERLER MEVKİİ,1172,MERKEZ,74,BARTIN
94108,AKPINAR KÖYÜ, BAKAL MEVKİİ,1172,MERKEZ,74,BARTIN
94109,AKPINAR KÖYÜ, BAKLA MEVKİİ,1172,MERKEZ,74,BARTIN
94106,AKPINAR KÖYÜ, CEBECİ MEVKİİ,1172,MERKEZ,74,BARTIN
94107,AKPINAR KÖYÜ, CONDUR MEVKİİ,1172,MERKEZ,74,BARTIN
94105,AKPINAR KÖYÜ, HACI MEVKİİ,1172,MERKEZ,74,BARTIN
94103,AKPINAR KÖYÜ, MERKEZ MEVKİİ,1172,MERKEZ,74,BARTIN
94104,AKPINAR KÖYÜ, ORTA MEVKİİ,1172,MERKEZ,74,BARTIN
94111,AKPINAR KÖYÜ, TÜRDÜ MEVKİİ,1172,MERKEZ,74,BARTIN
94110,AKPINAR KÖYÜ, YENİ MEVKİİ,1172,MERKEZ,74,BARTIN
90671,ALADAĞ MAHALLESİ,1172,MERKEZ,74,BARTIN
94112,ALİBAŞ KÖYÜ,1172,MERKEZ,74,BARTIN
94119,ARIÖNÜ KÖYÜ, AYGIROĞLU MEVKİİ,1172,MERKEZ,74,BARTIN
